ticker,sim_id,runtime,pop_size,gen_count,open_date,close_date,open_price,close_price,best_fit,worst_fit,mean_fit,std_fit,best_elite_fit,worst_elite_fit,mean_elite_fit,std_elite_fit,trade_count,trade_net_earnings,trade_win_count,trade_net_gain,trade_lose_count,trade_net_loss,long_count,long_net_earnings,long_win_count,long_net_gain,long_lose_count,long_net_loss,short_count,short_net_earnings,short_win_count,short_net_gain,short_lose_count,short_net_loss,profit_factor,gain_to_pain,winning_pct,payout_ratio,cpc_index,expectancy,return_pct,kelly_pct,sharpe,treynor,sortino
CI,0,1.6356571,1000,1,2008-06-09,2008-07-21,40.59,34.110001000000004,1.0568228320136897,0.9469985204094399,1.0083239575925445,0.03124722391104566,1.0568228320136897,0.953520502215469,1.0339427117989222,0.023859909328806096,684,67885.42359784788,582,72581.08507812282,582,-4695.661480274953,59,-4334.200037440667,14,191.37085691940962,45,-4525.570894360077,625,72219.6236352885,568,72389.71422120342,57,-170.0905859148755,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7762125,1000,2,2008-07-22,2008-09-02,36.049999,41.869999,1.0507923464078348,0.9504325579212985,0.9868368581348025,0.028597206392460973,0.9957558861513423,0.9559388874860433,0.9600221586200115,0.0064812053288836845,605,-79543.54758778038,8,75.22139981457273,8,-79618.76898759496,0,0.0,0,0.0,0,0.0,605,-79543.54758778038,8,75.22139981457273,597,-79618.76898759496,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7991852,1000,3,2008-09-03,2008-10-14,41.959999,30.52,1.1349349829048945,0.8518650751482671,0.988437317390271,0.05339303570372707,1.0468377302069025,0.8709699900139897,0.9450701401717906,0.03409476922329775,559,-109859.71965642061,23,2053.998784163367,23,-111913.71844058395,530,-109709.68402044561,10,1044.2576569732428,520,-110753.94167741883,29,-150.03563597501295,13,1009.7411271901244,16,-1159.7767631651373,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.6735533,1000,4,2008-10-15,2008-11-25,26.5,11.54,1.261697429069367,0.7995978939709013,1.0424767397291423,0.11440476706649973,1.261697429069367,0.9167344137195181,1.1566114402382737,0.03849532579542522,688,314025.0329898377,647,319100.5826790309,647,-5075.5496891932125,20,-1020.1722735510305,8,709.020419842449,12,-1729.1926933934794,668,315045.2052633887,639,318391.56225918845,29,-3346.356995799734,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.8131203,1000,5,2008-11-26,2009-01-09,12.37,16.709999,1.1270824319369428,0.8468973279698655,0.9538881118478761,0.08148746147910199,0.9930068953225784,0.8468973279698655,0.8802904031105527,0.01587863597386838,656,-238191.18201363695,23,1136.7550149943156,23,-239327.93702863128,8,339.57943899566425,4,528.0482473865208,4,-188.4688083908565,648,-238530.7614526326,19,608.7067676077951,629,-239139.46822024044,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.6924701,1000,6,2009-01-12,2009-02-24,16.030001000000002,18.799999,1.1319456683635438,0.8807308978536567,1.008232487183251,0.05029830040294472,1.125245807836485,0.9325602329529836,1.0407120880296197,0.03577411921088266,529,81424.17605923714,421,86917.98042209644,421,-5493.804362859343,468,82722.56151218443,403,85935.7074008937,65,-3213.145888709325,61,-1298.3854529472972,18,982.2730212027221,43,-2280.658474150019,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.6087297,1000,7,2009-02-25,2009-04-07,17.92,17.85,1.0867633294895243,0.9195195761304753,1.0079025653092228,0.018849050476645635,1.0867633294895243,0.9549372433947126,1.0221693049773246,0.011537509743989718,690,44120.82321848148,427,49380.25825541428,427,-5259.43503693276,675,44328.410932066916,421,49134.23407403217,254,-4805.82314196521,15,-207.5877135854348,6,246.0241813821169,9,-453.61189496755173,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7383461,1000,8,2009-04-08,2009-05-20,19.030001,20.940001,1.0675260967761389,0.9145135330125304,1.0053924530333849,0.016725071796400114,1.0514994166277238,0.9657622197646478,1.0124676378506998,0.013178202869577485,776,24785.983649160975,587,32088.52414579635,587,-7302.540496635458,739,25116.401369942476,573,31662.80760957149,166,-6546.4062396290865,37,-330.4177207815045,14,425.71653622486593,23,-756.1342570063705,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7941992,1000,9,2009-05-21,2009-07-02,20.74,23.66,1.1292353539585946,0.9120300054841919,1.0217321003979989,0.03742097245490007,1.1292353539585946,0.9853499728660132,1.0484119187220615,0.022087594087380796,904,96340.05379105762,774,101054.33244687665,774,-4714.2786558189555,736,89271.97820379407,652,92322.12358995959,84,-3050.145386165477,168,7068.075587263459,122,8732.208856916935,46,-1664.1332696534778,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.999008,1000,10,2009-07-06,2009-08-14,23.469999,28.82,1.0668955332552528,0.9407403264164726,1.020881021907821,0.040088176206612286,1.0668955332552528,0.981923869621801,1.0459436032198175,0.017006407813341534,730,91323.05354837884,690,93116.05944702637,690,-1793.005898647537,696,92686.42591100863,682,92868.17628949166,14,-181.75037848303785,34,-1363.3723626297817,8,247.88315753471682,26,-1611.2555201644989,0,0,0,0,0,0,0,0,0,0,0
CI,0,2.2056585,1000,11,2009-08-17,2009-09-28,29.68,29.040001,1.0258450318209078,0.9642946832204827,0.9987606386402653,0.005505322957415119,1.0111578114016222,0.9886662870414952,0.9961671984474347,0.001325772978396421,608,-7626.701501624824,8,363.4790989254051,8,-7990.180600550231,608,-7626.701501624824,8,363.4790989254051,600,-7990.180600550231,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CI,0,2.1730874,1000,12,2009-09-29,2009-11-09,28.6,30.959999,1.0524885094214158,0.9490319428514027,1.0022936707947059,0.02507642869245763,1.0465974022902154,0.9588679849956862,0.990615973795921,0.02601012644461859,948,-18404.663202945096,445,18811.574130178928,445,-37216.23733312404,389,15049.616954360868,355,16040.728049261868,34,-991.1110949009997,559,-33454.280157305984,90,2770.8460809170515,469,-36225.126238223034,0,0,0,0,0,0,0,0,0,0,0
CI,0,2.0626052,1000,13,2009-11-10,2009-12-22,30.950001,36.669998,1.065562197735115,0.9402310446698743,1.0163903149544948,0.04285009316791086,1.065562197735115,0.9705035600255932,1.0405335674028189,0.026869117172084706,739,80482.15457984086,617,85987.81443593609,617,-5505.659856095208,640,84347.58743618053,568,85007.62641986401,72,-660.0389836834745,99,-3865.4328563396607,49,980.1880160720723,50,-4845.620872411731,0,0,0,0,0,0,0,0,0,0,0
CI,0,2.244939,1000,14,2009-12-23,2010-02-05,36.490002,33.360001000000004,1.042439891532701,0.9622134233248387,0.9877222720169035,0.016351584737654568,0.9891866639246313,0.9757597203853474,0.9758446273866491,0.0009809111127554659,597,-48202.61186594891,0,0.0,0,-48202.61186594891,597,-48202.61186594891,0,0.0,597,-48202.61186594891,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.8815154,1000,15,2010-02-08,2010-03-22,33.080002,37.279999,1.0431046409686808,0.9583076195890521,0.9999261968066637,0.028187451472548107,1.0409036725930998,0.9583076195890521,0.9784468615491366,0.018511381117620712,504,-43106.27690172703,66,1843.8194615533293,66,-44950.096363280354,59,1472.8776258261128,48,1592.627879805638,11,-119.75025397952481,445,-44579.154527553146,18,251.19158174769126,427,-44830.34610930082,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7995618,1000,16,2010-03-23,2010-05-04,36.939999,31.219999,1.052243806179374,0.9499458995468766,0.9841743861281301,0.03127459378498462,1.02014176886689,0.9535890336168344,0.9584865998666178,0.007918428380085104,679,-82594.70252995037,21,672.1099320513364,21,-83266.8124620017,671,-83128.33699091228,13,138.47547108942678,658,-83266.8124620017,8,533.6344609619096,8,533.6344609619096,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.6932828,1000,17,2010-05-05,2010-06-16,32.0,35.189999,1.0394320080940005,0.953332319313073,0.9965230148462544,0.02303340548858029,1.0249478752959178,0.953332319313073,0.9779746430088507,0.012766953946945247,761,-44050.71398229443,114,2507.0016409642867,114,-46557.715623258686,54,825.3146855074867,35,1185.6357191028603,19,-360.32103359537376,707,-44876.02866780194,79,1321.3659218614268,628,-46197.39458966332,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.7071656,1000,18,2010-06-17,2010-07-29,35.34,30.620001,1.0530390928477147,0.9479289331068353,0.9870092695072706,0.029044289289448112,1.0041030319006494,0.9581233641803383,0.9613848164527867,0.00452216733228823,627,-76836.0861372395,17,320.53461751174,17,-77156.62075475125,621,-76996.36076361427,11,160.25999113696753,610,-77156.62075475125,6,160.27462637477242,6,160.27462637477242,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.6420086,1000,19,2010-07-30,2010-09-10,30.76,34.639999,1.049227511182701,0.9633569600812231,0.9982975279068427,0.024667290586080894,1.025194367327463,0.9640634320691617,0.9737512345742563,0.010404449214797386,762,-52401.78708459813,57,1250.9068999891776,57,-53652.6939845873,31,484.0884235384563,20,705.8924244381205,11,-221.8040008996643,731,-52885.87550813658,37,545.0144755510573,694,-53430.88998368764,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.8044598,1000,20,2010-09-13,2010-10-22,35.259998,36.169998,1.0352833978683638,0.9721125871622326,1.0030442763857481,0.008379736026238366,1.0201799508797063,0.9874973725008498,1.009258229679032,0.0033287516119503134,744,18415.41816663959,644,20353.791247082765,644,-1938.3730804431498,728,18592.301169650098,641,20350.144113631846,87,-1757.842943981723,16,-176.88300301050606,3,3.6471334509208213,13,-180.53013646142688,0,0,0,0,0,0,0,0,0,0,0
CI,0,1.993973,1000,21,2010-10-25,2010-12-06,36.380001,37.560001,1.0476594281785556,0.9614822498853564,1.0056988411607468,0.010736558289070467,1.0476594281785556,0.9831400180314845,1.0125881820687572,0.004628784682260592,692,25056.358339123097,669,25311.774577277058,669,-255.41623815395906,651,24390.486553066978,633,24603.007648355666,18,-212.52109528868368,41,665.8717860561144,36,708.7669289213898,5,-42.89514286527537,0,0,0,0,0,0,0,0,0,0,0
