ticker,sim_id,runtime,pop_size,gen_count,open_date,close_date,open_price,close_price,best_fit,worst_fit,mean_fit,std_fit,best_elite_fit,worst_elite_fit,mean_elite_fit,std_elite_fit,trade_count,trade_net_earnings,trade_win_count,trade_net_gain,trade_lose_count,trade_net_loss,long_count,long_net_earnings,long_win_count,long_net_gain,long_lose_count,long_net_loss,short_count,short_net_earnings,short_win_count,short_net_gain,short_lose_count,short_net_loss,profit_factor,gain_to_pain,winning_pct,payout_ratio,cpc_index,expectancy,return_pct,kelly_pct,sharpe,treynor,sortino
MSFT,0,1.36329,1000,11,2009-04-06,2009-05-18,18.76,20.6,1.0624091408037988,0.9389152863394804,1.000790500702602,0.0216635336538265,1.0538891928766736,0.9389152863394804,1.0148131554526278,0.016897444102737483,611,29626.310905258495,459,34007.15940844093,459,-4380.8485031824375,479,31587.756304810122,419,32731.593367478505,60,-1143.8370626683848,132,-1961.4453995516355,40,1275.5660409624172,92,-3237.011440514052,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.375953,1000,12,2009-05-19,2009-06-30,20.309999,23.77,1.057147118158745,0.9419379674669001,1.0121418528152533,0.04068991225413408,1.0535992735069293,0.983099103753332,1.0488163223617186,0.01391498884233208,691,97096.65198836169,655,98518.20637990997,655,-1421.5543915482879,660,98266.12071193391,645,98296.38615832881,15,-30.265446394895363,31,-1169.4687235722279,10,221.82022158116413,21,-1391.288945153392,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.582439,1000,13,2009-07-01,2009-08-12,24.040001,23.530001,1.0313564505520394,0.9739508911871236,1.0006500902798714,0.0052623177088209055,1.0014851393942021,0.9777677072987446,0.9997367519308484,0.0020792382925339794,617,-526.352018196978,398,4476.902019585612,398,-5003.254037782615,614,-460.6998700220454,397,4471.736328668694,217,-4932.436198690764,3,-65.65214817493249,1,5.165690916917777,2,-70.81783909185027,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.361975,1000,14,2009-08-13,2009-09-24,23.620001,25.940001,1.0368513553258432,0.9575470593984337,0.9991727399247797,0.023829155225826078,1.0333433530369218,0.9691102411079388,0.9873401977229593,0.021946539379220958,955,-25010.706965153382,430,13246.095137958344,430,-38256.80210311176,350,10791.246826996716,324,11027.453059610309,26,-236.20623261359054,605,-35801.95379215013,106,2218.642078348034,499,-38020.595870498175,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.482671,1000,15,2009-09-25,2009-11-05,25.549999,28.469999,1.0638312729935746,0.9648739968520449,1.0093206812726514,0.024875891522067185,1.0428316383013945,1.0187466237230443,1.0321614563364132,0.0016636530522417174,619,64000.78922730495,605,64098.93812082095,605,-98.14889351600715,616,64045.748772655854,605,64098.93812082095,11,-53.18934816510477,3,-44.95954535090238,0,0.0,3,-44.95954535090238,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.516746,1000,16,2009-11-06,2009-12-18,28.52,30.360001,1.0189977164113224,0.9796738286627688,1.0053508069311234,0.012070619912150415,1.0158309585473901,1.0032605202311629,1.0156072682348445,0.0014752071187002578,626,31056.226884224532,611,31219.8724570651,611,-163.6455728405665,615,31146.728138813694,609,31197.6151967758,6,-50.887057962105686,11,-90.50125458916001,2,22.25726028930082,9,-112.75851487846083,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.565877,1000,17,2009-12-21,2010-02-03,30.52,28.629999,1.0270021459396261,0.9678744007558798,0.991453079834568,0.015576415148015648,0.9952941102992974,0.9678744007558798,0.979453033286367,0.0019798461055573033,633,-40886.88687377348,12,131.3224020472915,12,-41018.20927582077,631,-40875.19087586543,12,131.3224020472915,619,-41006.51327791272,2,-11.69599790805274,0,0.0,2,-11.69599790805274,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.417054,1000,18,2010-02-04,2010-03-18,27.84,29.610001,1.024212049732627,0.9796909277723739,0.9977621326880984,0.015441303682863262,1.002255810114377,0.9796909277723739,0.9838173677735266,0.005516188787221255,685,-32365.264452948602,44,539.1463332452752,44,-32904.41078619388,41,253.89614599082302,25,328.33400721749433,16,-74.43786122667133,644,-32619.160598939423,19,210.81232602778084,625,-32829.97292496721,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.495044,1000,19,2010-03-19,2010-04-30,29.59,30.540001,1.0323277288244923,0.98537592561978,1.0035178002794998,0.007808442173050619,1.0216989456083645,1.003273097638156,1.0093151826199647,0.003181243093227972,678,18544.414553485894,633,18894.849862291794,633,-350.43530880590345,678,18544.414553485894,633,18894.849862291794,45,-350.43530880590345,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.578793,1000,20,2010-05-03,2010-06-14,30.860001,25.5,1.047308370450802,0.9391492181288175,0.9814610436736741,0.03599467724117115,1.018705323587809,0.9432437533690127,0.9567298143420417,0.011642855935058075,645,-86067.28761141139,33,850.0579159623835,33,-86917.34552737378,611,-86821.39408317022,5,74.55342875890418,606,-86895.94751192915,34,754.1064717588156,28,775.5044872034794,6,-21.398015444663713,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.389502,1000,21,2010-06-15,2010-07-27,26.58,26.16,1.0482878183460105,0.9747229526330546,1.0012548630245122,0.005522298399903111,1.0355850205225334,0.9826655870213952,1.003470108708778,0.005355905031622812,712,6970.360577781458,601,9708.860101925131,601,-2738.4995241436736,63,468.3114240391091,34,1126.4082729149313,29,-658.0968488758222,649,6502.049153742349,567,8582.451829010202,82,-2080.4026752678496,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.444513,1000,22,2010-07-28,2010-09-08,25.950001,23.93,1.0310054663531933,0.9707331424880363,1.0031927987173812,0.018558784083859237,1.0310054663531933,0.9729812907414728,1.0089977570486226,0.015347924703125185,961,17764.155931038327,608,25535.53404286225,608,-7771.378111823907,273,-6734.307199718299,38,212.7898239264744,235,-6947.097023644775,688,24498.463130756645,570,25322.74421893578,118,-824.2810881791321,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.581629,1000,23,2010-09-09,2010-10-20,24.01,25.309999,1.0274845860871167,0.9648531694269852,0.9959575744858945,0.010575536895385354,0.9956809575881816,0.9793344356079078,0.9876696888301656,0.0008212720377018907,609,-24537.29750948026,4,34.77937106573511,4,-24572.076880545996,0,0.0,0,0.0,0,0.0,609,-24537.29750948026,4,34.77937106573511,605,-24572.076880545996,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.495078,1000,24,2010-10-21,2010-12-02,25.42,26.889999,1.035033008018133,0.9642618618644838,1.0038652744859924,0.01622016896595112,1.0331051347201456,0.9653518614185536,1.0166886329005351,0.006611665194994544,736,33192.45467469291,612,34927.04168238079,612,-1734.5870076878589,697,33766.80400756044,599,34754.91393368569,98,-988.1099261252397,39,-574.3493328675181,13,172.1277486951014,26,-746.4770815626194,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.595466,1000,25,2010-12-03,2011-01-14,27.02,28.299999,1.0238657150466637,0.9800327334626627,1.0061070848703129,0.012068746771552005,1.0212959413625122,0.9997303002452936,1.0149056366197757,0.0027392250543481246,674,29656.285446611502,625,30082.646535073207,625,-426.36108846170237,656,29738.036108843822,622,30064.06235355367,34,-326.0262447098445,18,-81.75066223231931,3,18.584181519538568,15,-100.33484375185787,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.672659,1000,26,2011-01-18,2011-03-01,28.66,26.16,1.0272957070227937,0.9699975182163998,0.9888499914995067,0.018577399337503204,1.0109376118390516,0.9699975182163998,0.9759597442689351,0.003322762170982187,677,-47834.89518884004,26,358.3292148835203,26,-48193.224403723565,652,-48020.37027438104,10,89.69501623363576,642,-48110.06529061468,25,185.47508554099528,16,268.6341986498845,9,-83.1591131088892,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.508104,1000,27,2011-03-02,2011-04-12,26.08,25.639999,1.0103243647479783,0.977169524712157,1.0005716159378217,0.004626810167815833,1.0103243647479783,0.9884551552732168,1.0040804562627519,0.002758713830172038,702,8156.443575650271,592,9371.202245146647,592,-1214.7586694963775,36,-233.96957142256892,13,72.471493463791,23,-306.4410648863599,666,8390.41314707284,579,9298.730751682855,87,-908.3176046100173,0,0,0,0,0,0,0,0,0,0,0
